Document,Label,Type,Title,Line,Status
11_geometric_gas.md,prop-limiting-regimes,Proposition,Limiting Behavior of the Unified Pipeline,310,needs_proof
11_geometric_gas.md,prop:bounded-adaptive-force,Proposition,k-Uniform Boundedness of the Adaptive Force (ρ-Dependent),562,needs_proof
11_geometric_gas.md,prop:ueph-by-construction,Proposition,k-Uniform Ellipticity by Construction (Proven in Chapter 4),598,has_complete_proof
11_geometric_gas.md,thm-ueph,Theorem,k-Uniform Ellipticity of the Regularized Metric,622,has_complete_proof
11_geometric_gas.md,lem-hessian-bounded,Lemma,N-Uniform Boundedness of the Pure Hessian,667,has_complete_proof
11_geometric_gas.md,lem-hessian-bounded-rigorous,Lemma,Rigorous Boundedness of the Hessian,726,has_complete_proof
11_geometric_gas.md,lem-hessian-explosion,Lemma,Failure of Uniformity Without Regularization,824,has_complete_proof
11_geometric_gas.md,cor-wellposed,Corollary,Existence and Uniqueness of Solutions,932,has_complete_proof
11_geometric_gas.md,thm-backbone-convergence,Theorem,Geometric Ergodicity of the Backbone,1035,has_sketch
11_geometric_gas.md,thm-strat-chain,Theorem,Stratonovich Chain Rule for Lyapunov Functions,1110,has_complete_proof
11_geometric_gas.md,lem-adaptive-force-bounded,Lemma,N-Uniform Bounded Perturbation from Adaptive Force,1232,has_complete_proof
11_geometric_gas.md,lem-viscous-dissipative,Lemma,Dissipative Contribution from Viscous Force,1317,has_complete_proof
11_geometric_gas.md,lem-diffusion-bounded,Lemma,Bounded Change from Adaptive Diffusion,1395,has_complete_proof
11_geometric_gas.md,cor-total-perturbation,Corollary,Total Perturbation Bound (ρ-Dependent),1473,has_complete_proof
11_geometric_gas.md,thm-fl-drift-adaptive,Theorem,Foster-Lyapunov Drift for the ρ-Localized Geometric Viscous Fluid Model,1508,has_complete_proof
11_geometric_gas.md,cor-exp-convergence,Corollary,Exponential Convergence,1684,needs_proof
11_geometric_gas.md,thm-lsi-adaptive-gas,Theorem,N-Uniform Log-Sobolev Inequality for the Geometric Viscous Fluid Model,1834,needs_proof
11_geometric_gas.md,cor-entropy-convergence-lsi,Corollary,Exponential Convergence in Relative Entropy,2003,has_complete_proof
11_geometric_gas.md,cor-geometric-ergodicity-lsi,Corollary,Geometric Ergodicity via LSI,2033,has_sketch
11_geometric_gas.md,thm-qsd-existence,Theorem,Existence and Uniqueness of the QSD,2106,has_sketch
11_geometric_gas.md,thm-lsi-mean-field,Theorem,Logarithmic Sobolev Inequality for the Mean-Field Generator,2217,needs_proof
11_geometric_gas.md,lem-dissipation-decomp,Lemma,Decomposition of Entropy Dissipation,2271,needs_proof
11_geometric_gas.md,lem-micro-coercivity,Lemma,Microscopic Coercivity (Step A),2304,needs_proof
11_geometric_gas.md,lem-macro-transport,Lemma,Macroscopic Transport (Step B),2316,needs_proof
11_geometric_gas.md,lem-micro-reg,Lemma,Microscopic Regularization (Step C),2328,needs_proof
11_geometric_gas.md,lem-weight-derivatives,Lemma,Derivatives of Localization Weights,2550,needs_proof
11_geometric_gas.md,lem-mean-first-derivative,Lemma,First Derivative of Localized Mean,2586,needs_proof
11_geometric_gas.md,lem-mean-second-derivative,Lemma,Second Derivative of Localized Mean,2664,needs_proof
11_geometric_gas.md,lem-variance-gradient,Lemma,k-Uniform Gradient of Localized Variance,2742,needs_proof
11_geometric_gas.md,lem-variance-hessian,Lemma,k-Uniform Hessian of Localized Variance,2788,needs_proof
11_geometric_gas.md,thm-c1-regularity,Theorem,C¹ Regularity and k-Uniform Gradient Bound,2819,needs_proof
11_geometric_gas.md,thm-c2-regularity,Theorem,C² Regularity and k-Uniform Hessian Bound,2932,needs_proof
11_geometric_gas.md,cor-axioms-verified,Corollary,Verification of Axioms 3.2.1 and 3.2.3,3053,needs_proof
11_geometric_gas.md,thm-signal-generation-adaptive,Theorem,Signal Generation for the Adaptive Model,3124,needs_proof
11_geometric_gas.md,lem-variance-to-gap-adaptive,Lemma,"Variance-to-Gap (from 03_cloning.md, Lemma 7.3.1)",3159,needs_proof
11_geometric_gas.md,lem-rho-pipeline-bounds,Lemma,Uniform Bounds on the ρ-Localized Pipeline,3175,needs_proof
11_geometric_gas.md,lem-raw-to-rescaled-gap-rho,Lemma,Raw-Gap to Rescaled-Gap for ρ-Localized Pipeline,3211,needs_proof
11_geometric_gas.md,lem-log-gap-bounds-adaptive,Lemma,"Logarithmic Gap Bounds (from 03_cloning.md, Lemma 7.5.1)",3267,needs_proof
11_geometric_gas.md,prop-diversity-signal-rho,Proposition,Lower Bound on Corrective Diversity Signal (ρ-Dependent),3291,needs_proof
11_geometric_gas.md,prop-reward-bias-rho,Proposition,Axiom-Based Bound on Logarithmic Reward Gap (ρ-Dependent),3351,needs_proof
11_geometric_gas.md,thm-stability-condition-rho,Theorem,ρ-Dependent Stability Condition for Intelligent Targeting,3401,needs_proof
11_geometric_gas.md,thm-keystone-adaptive,Theorem,Keystone Lemma for the ρ-Localized Adaptive Model,3429,needs_proof
12_symmetries_geometric_gas.md,thm-permutation-symmetry,Theorem,Permutation Invariance,249,has_complete_proof
